Sr. No.,AMFI CODE,Scheme Name,
297,100156,Principal Tax Savings Fund,
298,100631,Quant Active Fund(G),
299,109830,Quant Consumption Fund(G),
300,109275,Quant Focused Fund(G),
301,106170,Quant Infrastructure Fund(G),
302,104513,Quant Large & Mid Cap Fund(G),
303,101065,Quant Mid Cap Fund(G),
304,100177,Quant Small Cap Fund(G),
305,100175,Quant Tax Plan(G),
306,107693,Quantum Gold Fund ETF,
307,147371,Quantum India ESG Equity Fund-Reg(G),
308,141068,Quantum Long Term Equity Value Fund-Reg(G),
309,141070,Quantum Tax Saving Fund-Reg(G),
310,133858,SBI Banking & Financial Services Fund-Reg(G),
311,103504,SBI BlueChip Fund-Reg(G),
312,120576,SBI Consumption Opp Fund-Reg(G),
313,102414,SBI Contra Fund-Reg(G),
314,146644,SBI Equity Minimum Variance Fund-Reg(G),
315,102756,SBI Focused Equity Fund-Reg(G),
316,102823,SBI Healthcare Opp Fund-Reg(G),
317,106096,SBI Infrastructure Fund-Reg(G),
318,103024,SBI Large & Midcap Fund-Reg(G),
319,105628,SBI Long Term Equity Fund-Reg(G),
320,103145,SBI Magnum Comma Fund-Reg(G),
321,104523,SBI Magnum Equity ESG Fund-Reg(G),
322,103034,SBI Magnum Global Fund-Reg(G),
323,102941,SBI Magnum Midcap Fund-Reg(G),
324,103215,SBI Magnum Multicap Fund-Reg(G),
325,102272,SBI Nifty Index Fund-Reg(G),
326,113099,SBI PSU Fund-Reg(G),
327,125494,SBI Small Cap Fund-Reg(G),
328,120577,SBI Technology Opp Fund-Reg(G),
329,111954,SBI-ETF Gold,
330,145820,Shriram Long Term Equity Fund-Reg(G),
331,144902,Shriram Multicap Fund-Reg(G),
332,101853,Sundaram Diversified Equity(G),
333,147584,Sundaram Equity Fund-Reg(G),
334,109059,Sundaram Fin Serv Opp Fund(G),
335,129213,Sundaram Infra Advantage Fund(G),
336,105001,Sundaram Large and Mid Cap Fund(G),
337,101539,Sundaram Mid Cap Fund(G),
338,102142,Sundaram Rural and Consumption Fund(G),
339,101537,Sundaram Select Focus(G),
340,144838,Sundaram Services Fund-Reg(G),
341,100795,Sundaram Small Cap Fund(G),
342,140452,Sundaram Smart NIFTY 100 Eq Weight Fund-Reg(G),
343,135794,Tata Banking & Financial Services Fund-Reg(G),
344,135797,Tata Digital India Fund-Reg(G),
345,101672,Tata Equity P_E Fund(G),
346,100415,Tata Ethical Fund-Reg(G),
347,147760,Tata Focused Equity Fund-Reg(G),
348,101659,Tata Index Fund-Nifty Plan(G),
349,101746,Tata Index Fund-Sensex Plan(G),
350,135804,Tata India Consumer Fund-Reg(G),
351,135812,Tata India Pharma & Healthcare Fund-Reg(G),
352,132757,Tata India Tax Savings Fund-Reg(G),
353,101766,Tata Infrastructure Fund-Reg(G),
354,101824,Tata Large & Mid Cap Fund(G),
355,100475,Tata Large Cap Fund(G),
356,102328,Tata Mid Cap Growth Fund(G),
357,144548,Tata Multicap Fund-Reg(G),
358,147867,Tata Quant Fund-Reg(G),
359,135815,Tata Resources & Energy Fund-Reg(G),
360,145208,Tata Small Cap Fund-Reg(G),
361,117312,Taurus Banking & Fin Serv Fund-Reg(G),
362,100477,Taurus Discovery (Midcap) Fund-Reg(G),
363,111787,Taurus Ethical Fund-Reg(G),
364,105417,Taurus Infrastructure Fund-Reg(G),
365,101209,Taurus Largecap Equity Fund-Reg(G),
366,112948,Taurus Nifty Index Fund-Reg(G),
367,100476,Taurus Starshare (Multi Cap) Fund-Reg(G),
368,100480,Taurus Tax Shield Fund-Reg(G),
369,103678,Templeton India Equity Income Fund(G),
370,100496,Templeton India Value Fund(G),
371,147490,Union Focused Fund-Reg(G),
372,147748,Union Large & Midcap Fund-Reg(G),
373,141247,Union Largecap Fund-Reg(G),
374,116051,Union Long Term Equity Fund(G),
375,148071,Union Midcap Fund-Reg(G),
376,115270,Union Multi Cap Fund-Reg(G),
377,129647,Union Small Cap Fund-Reg(G),
378,145471,Union Value Discovery Fund-Reg(G),
379,102401,UTI Banking and Financial Services Fund-Reg(G),
380,100664,UTI Core Equity Fund-Reg(G),
381,103026,UTI Dividend Yield Fund-Reg(G),
382,100669,UTI Equity Fund-Reg(G),
383,105463,UTI Gold ETF,
384,100807,UTI Healthcare Fund-Reg(G),
385,106425,UTI India Consumer Fund-Reg(G),
386,102395,UTI Infrastructure Fund-Reg(G),
387,100821,UTI LT Equity Fund (Tax Saving)-Reg(G),
388,100651,UTI Mastershare-Reg(G),
389,102394,UTI Mid Cap Fund-Reg(G),
390,100740,UTI MNC Fund-Reg(G),
391,100822,UTI Nifty Index Fund-Reg(G),
392,143340,UTI Nifty Next 50 Index Fund-Reg(G),
393,102398,UTI Transportation & Logistics Fund-Reg(G),
394,103098,UTI Value Opp Fund-Reg(G),
